customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,profit
222,04139 Delladonna Place,2519.0,NSW,Australia,7.0,Nev,Larive,Male,89.0,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0,1428.06
3283,4380 Rusk Terrace,2086.0,NSW,Australia,11.0,Rowe,Barbary,Female,46.0,1979-01-15,Administrative Officer,Property,Mass Customer,N,Yes,6.0,5058.899999999998
1333,0 Fulton Drive,3806.0,VIC,Australia,8.0,Phillipp,McMonnies,Male,4.0,1973-08-23,Compensation Analyst,Financial Services,High Net Worth,N,No,9.0,1924.1799999999996
2688,8658 Maple Wood Plaza,3020.0,VIC,Australia,7.0,Shelden,Lorent,Male,53.0,1977-05-18,Database Administrator III,Property,Mass Customer,N,No,13.0,1017.75
1160,92867 Lukken Lane,3142.0,VIC,Australia,9.0,Trisha,Nisuis,Female,98.0,1965-04-08,Speech Pathologist,IT,Affluent Customer,N,No,10.0,684.5199999999995
889,1 5th Parkway,2148.0,NSW,Australia,8.0,Ezequiel,Coggeshall,Male,46.0,1967-02-19,Sales Representative,Retail,Affluent Customer,N,Yes,10.0,2357.6900000000005
1693,9037 Norway Maple Junction,2087.0,NSW,Australia,11.0,Ring,Birchall,Male,79.0,1965-11-06,Accountant I,Health,Affluent Customer,N,No,4.0,4956.609999999999
1361,970 Sundown Place,3222.0,VIC,Australia,5.0,Gradeigh,Saltmarshe,Male,56.0,1964-12-12,Professor,Manufacturing,Affluent Customer,N,No,19.0,2731.92
3005,72 Dennis Road,3805.0,VIC,Australia,7.0,Rafaellle,Tantrum,Male,36.0,1969-01-05,Human Resources Manager,Property,Affluent Customer,N,Yes,8.0,2602.3099999999995
1851,0 Prairie Rose Place,3802.0,VIC,Australia,7.0,Miles,Fallows,Male,20.0,1974-03-18,Account Representative II,,Mass Customer,N,No,13.0,881.1500000000001
2395,57 Debra Terrace,2259.0,NSW,Australia,6.0,Ashlin,Kesby,Male,23.0,1966-02-26,Executive Secretary,,High Net Worth,N,No,16.0,57.72999999999999
2136,47336 Garrison Court,4670.0,QLD,Australia,1.0,Heather,Golsworthy,Female,21.0,1965-07-12,Office Assistant I,Health,High Net Worth,N,Yes,5.0,3917.4700000000003
2946,984 Hoepker Court,3064.0,VIC,Australia,6.0,Paige,Bax,Male,14.0,1990-11-21,,Property,Mass Customer,N,Yes,7.0,3823.38
104,0410 Division Junction,2750.0,New South Wales,Australia,8.0,Odille,Panketh,Female,40.0,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,5228.970000000001
3065,4351 Maywood Hill,3551.0,VIC,Australia,4.0,Winna,Brusle,Female,88.0,1978-01-05,Recruiter,Financial Services,High Net Worth,N,Yes,13.0,1367.38
1346,38 Hansons Place,3023.0,VIC,Australia,7.0,Woody,Dowthwaite,Male,9.0,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,6736.530000000001
685,75826 Bellgrove Trail,3095.0,Victoria,Australia,10.0,Booth,Birkin,U,28.0,,Senior Developer,IT,Mass Customer,N,No,,5218.2
2304,00 Marcy Crossing,3115.0,VIC,Australia,9.0,Shelia,Bellew,Female,65.0,1957-06-01,,,Mass Customer,N,Yes,11.0,4121.78
2360,20 Bluestem Way,4152.0,QLD,Australia,9.0,Karleen,McGenn,Female,0.0,1974-11-03,VP Accounting,Financial Services,High Net Worth,N,Yes,5.0,4962.199999999999
3138,13 Basil Lane,2036.0,NSW,Australia,9.0,Wait,Pardey,Male,34.0,1971-02-19,Paralegal,Financial Services,Mass Customer,N,Yes,6.0,5221.07
2919,3957 American Ash Plaza,2440.0,NSW,Australia,2.0,Rustin,,Male,47.0,1964-10-31,Safety Technician I,Financial Services,High Net Worth,N,Yes,8.0,3489.3300000000004
2189,9 Hauk Alley,3915.0,VIC,Australia,4.0,Thedric,,Male,43.0,1998-02-25,Safety Technician II,Financial Services,High Net Worth,N,No,4.0,4914.08
3099,32304 Larry Road,4014.0,QLD,Australia,7.0,Shelli,Benitti,Female,73.0,1996-11-26,,Retail,Mass Customer,N,Yes,3.0,2079.5699999999997
3185,69 Huxley Lane,4205.0,QLD,Australia,3.0,Duky,Crichley,Male,25.0,1956-01-18,Senior Financial Analyst,Financial Services,Mass Customer,N,No,10.0,1939.7599999999993
